aberration,отклонение
abstain,воздерживаться
accommodate,приспосабливать
acumen,проницательность
adhere,придерживаться
adjourn,откладывать
advocate,отстаивать
aesthetic,эстетический
affluent,обеспеченный
aggregate,суммарный
alleviate,облегчать
ambivalent,двойственный
ameliorate,улучшать
analogous,аналогичный
anomaly,аномалия
antithesis,антитеза
apathy,апатия
arbitrate,арбитрировать
arduous,трудный
articulate,артикулировать
ascertain,устанавливать
assiduous,усердный
assimilate,усваивать
astute,проницательный
augment,увеличивать
auspicious,благоприятный
authentic,аутентичный
autonomous,автономный
benevolent,доброжелательный
bolster,укреплять
candid,откровенный
capitulate,капитулировать
catalyst,катализатор
catharsis,катарсис
caustic,едкий
censure,порицание
cogent,убедительный
cognizant,осведомленный
coherent,последовательный
collaborate,сотрудничать
commensurate,соразмерный
compelling,неотразимый
comprehensive,всесторонний
concise,лаконичный
concur,соглашаться
condone,потворствовать
conducive,способствующий
conjecture,предположение
consensus,консенсус
conspicuous,заметный
constituent,составной
construe,толковать
contemporary,современный
contend,бороться
controversial,спорный
conventional,традиционный
corroborate,подтверждать
credible,заслуживающий доверия
culminate,завершаться
cumulative,кумулятивный
deference,почтение
deleterious,вредный
delineate,очерчивать
demographic,демографический
deplete,истощать
deploy,развертывать
derivative,производный
deterrent,сдерживающий
devoid,лишенный
dichotomy,дихотомия
diligent,прилежный
discretion,усмотрение
discretionary,дискреционный
disparate,разрозненный
disparity,неравенство
disseminate,распространять
diverse,разнообразный
doctrine,доктрина
dubious,сомнительный
eclectic,эклектичный
egregious,вопиющий
elaborate,разрабатывать
elicit,вызывать
elusive,ускользающий
embody,воплощать
empirical,эмпирический
endorse,поддерживать
enhance,усиливать
enigma,загадка
ephemeral,эфемерный
equitable,справедливый
equivocal,двусмысленный
eradicate,искоренять
erroneous,ошибочный
esoteric,эзотерический
espouse,поддерживать
ethereal,эфирный
exacerbate,обострять
exemplary,образцовый
exhaustive,исчерпывающий
expedite,ускорять
explicit,явный
facilitate,содействовать
fallacious,ошибочный
feasible,осуществимый
fluctuate,колебаться
formidable,грозный
frugal,экономный
fundamental,основополагающий
galvanize,стимулировать
gratuitous,бесплатный
gregarious,общительный
hierarchy,иерархия
hypothetical,гипотетический
idiosyncrasy,идиосинкразия
imminent,неизбежный
impetus,импульс
implicit,подразумеваемый
inadvertently,нечаянно
incessant,непрерывный
