apple,яблоко
book,книга
cat,кошка
dog,собака
house,дом
sun,солнце
moon,луна
water,вода
fire,огонь
earth,земля
tree,дерево
flower,цветок
friend,друг
family,семья
school,школа
city,город
country,страна
time,время
love,любовь
life,жизнь
computer,компьютер
phone,телефон
car,машина
street,улица
park,парк
river,река
mountain,гора
sea,море
sky,небо
cloud,облако
rain,дождь
snow,снег
wind,ветер
food,еда
bread,хлеб
milk,молоко
meat,мясо
fish,рыба
fruit,фрукт
vegetable,овощ
coffee,кофе
tea,чай
sugar,сахар
salt,соль
money,деньги
work,работа
home,дом
room,комната
bed,кровать
table,стол
chair,стул
door,дверь
window,окно
wall,стена
floor,пол
roof,крыша
garden,сад
shop,магазин
market,рынок
hospital,больница
doctor,доктор
teacher,учитель
student,студент
child,ребенок
man,мужчина
woman,женщина
boy,мальчик
girl,девочка
father,отец
mother,мать
brother,брат
sister,сестра
son,сын
daughter,дочь
head,голова
eye,глаз
ear,ухо
nose,нос
mouth,рот
hand,рука
foot,нога
heart,сердце
brain,мозг
health,здоровье
sport,спорт
game,игра
music,музыка
film,фильм
book,книга
pen,ручка
paper,бумага
key,ключ
clock,часы
light,свет
dark,тьма
color,цвет
red,красный
blue,синий
green,зеленый
yellow,желтый
black,черный
white,белый
big,большой
small,маленький
hot,горячий
cold,холодный

